Date,Close
1980-01-02,1.287471414
1980-01-03,1.287471414
1980-01-04,1.277333856
1980-01-07,1.267196298
1980-01-08,1.292540193
1980-01-09,1.30774653
1980-01-10,1.338159204
1980-01-11,1.343227983
1980-01-14,1.373640776
1980-01-15,1.353365541
1980-01-16,1.353365541
1980-01-17,1.363503218
1980-01-18,1.343227983
1980-01-21,1.368571997
1980-01-22,1.388847113
1980-01-23,1.449672461
1980-01-24,1.419259787
1980-01-25,1.343227983
1980-01-28,1.353365541
1980-01-29,1.343227983
1980-01-30,1.363503218
1980-01-31,1.368571997
1980-02-01,1.383778334
1980-02-04,1.368571997
1980-02-05,1.363503218
1980-02-06,1.333090425
1980-02-07,1.292540193
1980-02-08,1.292540193
1980-02-11,1.312815309
1980-02-12,1.317884088
1980-02-13,1.338159204
1980-02-14,1.317884088
1980-02-15,1.297608972
1980-02-19,1.287471414
1980-02-20,1.282402635
1980-02-21,1.246921062
1980-02-22,1.241852283
1980-02-25,1.267196298
1980-02-26,1.272265077
1980-02-27,1.241852283
1980-02-28,1.236783504
1980-02-29,1.236783504
1980-03-03,1.226645947
1980-03-04,1.241852283
1980-03-05,1.226645947
1980-03-06,1.216508389
1980-03-07,1.231714725
1980-03-10,1.241852283
1980-03-11,1.236783504
1980-03-12,1.231714725
1980-03-13,1.216508389
1980-03-14,1.201302052
1980-03-17,1.196233273
1980-03-18,1.181026936
1980-03-19,1.191164494
1980-03-20,1.201302052
1980-03-21,1.145545363
1980-03-24,1.104995131
1980-03-25,1.120201468
1980-03-26,1.125270247
1980-03-27,1.140476584
1980-03-28,1.170889378
1980-03-31,1.181026936
1980-04-01,1.170889378
1980-04-02,1.165820599
1980-04-03,1.135407805
1980-04-07,1.074582458
1980-04-08,1.049238443
1980-04-09,1.034032106
1980-04-10,1.099926353
1980-04-11,1.069513679
1980-04-14,1.039100885
1980-04-15,1.069513679
1980-04-16,1.059376121
1980-04-17,1.018825769
1980-04-18,0.942794025
1980-04-21,0.892106175
1980-04-22,0.952931583
1980-04-23,0.937725246
1980-04-24,0.983344316
1980-04-25,1.003619432
1980-04-28,0.963069141
1980-04-29,0.973206699
1980-04-30,0.988413095
1980-05-01,0.96813792
1980-05-02,0.942794025
1980-05-05,0.892106175
1980-05-06,0.871831
1980-05-07,0.922518849
1980-05-08,0.932656467
1980-05-09,0.932656467
1980-05-12,0.958000362
1980-05-13,0.973206699
1980-05-14,0.983344316
1980-05-15,0.963069141
1980-05-16,0.937725246
1980-05-19,0.947862804
1980-05-20,0.978275478
1980-05-21,0.978275478
1980-05-22,1.023894548
1980-05-23,1.023894548
1980-05-27,1.023894548
1980-05-28,1.018825769
1980-05-29,0.993481874
1980-05-30,0.993481874
1980-06-02,1.008688211
1980-06-03,1.008688211
